pulse_num,pw
0,2.0001084184786e-09
1,2.0001138649773e-09
2,2.0001131281996e-09
3,2.0001082256529e-09
4,2.0001111499919e-09
5,2.000111426559e-09
6,2.000115729326e-09
7,2.0001123433073e-09
8,2.0001107254081e-09
9,2.0001160132389e-09
10,2.0001151258735e-09
11,2.0001102681358e-09
12,2.0001124395365e-09
13,2.000111558415e-09
14,2.0001179348844e-09
15,2.0001116546442e-09
16,2.0001130316031e-09
17,2.0001146983515e-09
18,2.0001090586598e-09
19,2.0001129834885e-09
20,2.000109897176e-09
21,2.0001115103004e-09
22,2.0001139130919e-09
23,2.0001115103004e-09
24,2.0001090105452e-09
25,2.0001132754817e-09
26,2.0001093833415e-09
27,2.0001110555991e-09
28,2.000116268136e-09
29,2.0001139615738e-09
30,2.0001097473229e-09
31,2.0001099401486e-09
32,2.0001171496248e-09
33,2.0001106288117e-09
34,2.0001163166179e-09
35,2.0001122948254e-09
36,2.0001130316031e-09
37,2.0001155467844e-09
38,2.000115592328e-09
39,2.0001081848841e-09
40,2.0001154351291e-09
41,2.0001081848841e-09
42,2.0001054019506e-09
43,2.0001123433073e-09
44,2.0001120054033e-09
45,2.0001118838313e-09
46,2.0001146498696e-09
47,2.0001104841006e-09
48,2.0001125666178e-09
